name,SRR25723234,SRR25723214,SRR25723247,SRR25723239,SRR25723287,SRR25723205,SRR25723224,SRR25723274,SRR25723191,SRR25723256,SRR25723200,SRR25723208,SRR25723235,SRR25723286,SRR25723293,SRR25723276,SRR25723199,SRR25723220,SRR25723272,SRR25723201,SRR25723219,SRR25723217,SRR25723185,SRR25723261,SRR25723212,SRR25723196,SRR25723279,SRR25723271,SRR25723207,SRR25723215,SRR25723245,SRR25723290,SRR25723198,SRR25723252,SRR25723197,SRR25723184,SRR25723280,SRR25723270,SRR25723277,SRR25723288,SRR25723229,SRR25723221,SRR25723236,SRR25723190,SRR25723232,SRR25723258,SRR25723262,SRR25723275,SRR25723241,SRR25723237,SRR25723210,SRR25723228,SRR25723281,SRR25723257,SRR25723244,SRR25723264,SRR25723192,SRR25723278,SRR25723193,SRR25723269,SRR25723273,SRR25723250,SRR25723246,SRR25723203,SRR25723223,SRR25723202,SRR25723242,SRR25723289,SRR25723206,SRR25723233,SRR25723263,SRR25723243,SRR25723267,SRR25723230,SRR25723226,SRR25723253,SRR25723209,SRR25723188,SRR25723254,SRR25723195,SRR25723265,SRR25723291,SRR25723218,SRR25723266,SRR25723204,SRR25723255,SRR25723231,SRR25723227,SRR25723284,SRR25723183,SRR25723268,SRR25723251,SRR25723285,SRR25723238,SRR25723249,SRR25723240,SRR25723186,SRR25723222,SRR25723259,SRR25723211,SRR25723260,SRR25723283,SRR25723216,SRR25723187,SRR25723282,SRR25723194,SRR25723292,SRR25723189,SRR25723248,SRR25723225,SRR25723213
Kineothrix sp. MB12-C1,0.0,0.0,0.0,0.0,0.0003,0.00087,0.00117,0.0,0.00085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.00074,0.0,0.0,0.00044,0.0,0.0,0.0,0.00043,0.0,0.00057,0.0,0.0,0.00042,0.0004,0.0,0.00055,0.00073,0.0,0.0,0.0,0.0,0.00113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00122,0.0,0.00028,0.0,0.0,0.00071,0.0,0.00036,0.00021,0.0,0.0,0.0,0.00047,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,0.0,0.00082,0.0,0.0,0.00043,0.0,0.00055,0.0,0.0,0.00043,0.0,0.00044,0.0,0.00038,0.0008,0.0,0.00072,0.0,0.0,0.0,0.0,0.0,0.00023,0.00057,0.0,0.00022,0.0,0.0,0.0006,0.00034,0.00082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella aerogenes,0.0,0.0,0.0,0.0,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00092,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella michiganensis,0.0,0.0,0.0,0.0,0.00067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella pneumoniae,0.0,0.0,0.0,0.0,0.00621,0.00287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,0.0,0.0,0.00271,0.0,0.00108,0.00103,0.0,0.00915,0.0,0.00264,0.0,0.0,0.00576,0.0,0.00372,0.00133,0.0,0.0,0.00208,0.0,0.0,0.0,0.00215,0.00084,0.00072,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00387,0.0,0.0,0.0,0.00182,0.0,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0096,0.0,0.01047,0.0,0.0,0.0,0.00709,0.0038,0.0,0.0,0.00171,0.0,0.00145,0.0,0.0,0.00073,0.0,0.0,0.0,0.0,0.00086,0.0,0.00204,0.0,0.0,0.00548,0.0,0.0,0.0,0.00117,0.0,0.0,0.0,0.0,0.00402,0.00123,0.0,0.00273,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella quasipneumoniae,0.0,0.0,0.0,0.0,0.00104,0.00041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.00036,0.0,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klebsiella sp. PL-2018,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lachnoanaerobaculum gingivalis,0.0,0.0,0.0,0.0,0.01458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03058,0.0,0.0,0.02245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395,0.0,0.0,0.0,0.0,0.0,0.0
Lachnoanaerobaculum umeaense,0.0,0.00291,0.00979,0.0,0.00651,0.0,0.0,0.0,0.0,0.0,0.00154,0.0,0.0,0.0,0.00197,0.0,0.01579,0.0,0.0,0.0,0.0,0.0,0.0,0.00219,0.0,0.0,0.0,0.0,0.0,0.01407,0.0,0.04516,0.0,0.0,0.0,0.0,0.0,0.0,0.00222,0.0,0.0,0.0,0.0,0.0,0.00343,0.0,0.0,0.00191,0.0124,0.00213,0.00229,0.0,0.03527,0.0,0.0,0.00332,0.0,0.0,0.0,0.00182,0.00193,0.0,0.0,0.0,0.0,0.0,0.00836,0.0,0.0,0.0,0.0,0.0,0.0036,0.0,0.0,0.04863,0.0,0.0,0.0,0.0,0.00457,0.00201,0.0,0.00254,0.0,0.0,0.0,0.0,0.0,0.0,0.00183,0.0371,0.0,0.0,0.0,0.02646,0.0,0.0,0.00248,0.00202,0.0,0.0,0.0,0.0,0.0,0.0,0.00191,0.00245,0.0,0.00315,0.00737
Lachnospira eligens,0.02444,0.03558,0.02689,0.08197,0.00521,0.00196,0.00147,0.00164,0.00118,0.02377,0.00339,0.00106,0.04074,0.00404,0.00596,0.00244,0.00314,0.00408,0.00238,0.0032,0.00275,0.00258,0.00133,0.0018,0.01576,0.00136,0.00477,0.00151,0.00144,0.00688,0.0498,0.00646,0.00155,0.01954,0.00187,0.00149,0.00097,0.00707,0.00135,0.0043,0.0025,0.00387,0.04959,0.00328,0.03499,0.0,0.00231,0.00147,0.03059,0.00368,0.02996,0.00171,0.005,0.01551,0.0436,0.00303,0.00228,0.00175,0.00213,0.00237,0.00129,0.03399,0.03903,0.00218,0.00507,0.00126,0.03529,0.0,0.00309,0.06147,0.00088,0.04076,0.00111,0.00712,0.00298,0.02851,0.00273,0.00054,0.01993,0.0024,0.00324,0.00307,0.00337,0.00235,0.00065,0.02318,0.00556,0.00231,0.01259,0.00194,0.00345,0.02002,0.00552,0.0416,0.02009,0.04125,0.00366,0.00238,0.0035,0.00405,0.00342,0.00669,0.00349,0.00075,0.00505,0.00164,0.00541,0.00471,0.00638,0.0009,0.00664
Lacrimispora sp. BS-2,0.0,0.0,0.0,0.0,0.01641,0.02924,0.01775,0.00449,0.01124,0.0,0.00697,0.0105,0.0,0.0146,0.00731,0.00548,0.02089,0.00713,0.00414,0.03951,0.01355,0.01442,0.00328,0.00484,0.0,0.03498,0.01238,0.00213,0.01655,0.01419,0.0,0.01543,0.00664,0.0,0.00246,0.01118,0.0,0.01197,0.0002,0.01317,0.00296,0.01761,0.0,0.02258,0.0,0.0,0.00637,0.00064,0.0,0.00588,0.0,0.01842,0.015,0.0,0.0,0.00197,0.01774,0.00538,0.02095,0.00565,0.00089,0.0,0.0,0.02726,0.00953,0.01909,0.0,0.00651,0.02759,0.0,0.00058,0.0,0.00059,0.0,0.00233,0.0,0.02898,0.00279,0.0,0.01859,0.00416,0.00437,0.01967,0.00496,0.01356,0.0,0.0,0.01972,0.02841,0.02279,0.00435,0.0,0.01699,0.0,0.0,0.0,0.02074,0.01689,0.0084,0.00502,0.0,0.01529,0.01409,0.01105,0.01499,0.00309,0.00704,0.00696,0.00728,0.00117,0.0
Lacrimispora xylanisolvens,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.00043,0.0,0.0,0.00036,0.0,0.0,0.0,0.00041,0.0,0.0,0.0,0.0,0.00055,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
Lacticaseibacillus pabuli,0.00103,0.00048,0.0,0.0,0.00102,0.00031,0.0,0.0,0.00095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.00105,0.0,0.00208,0.00119,0.0,0.00064,0.00075,0.0,0.0,0.0,0.0,0.00113,0.0,0.00175,0.0,0.00068,0.0,0.0,0.0,0.00081,0.0,0.0,0.00104,0.00177,0.0,0.0,0.0,0.00128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00115,0.0,0.0,0.0,0.00075,0.00078,0.0,0.0,0.0,0.0,0.00118,0.0,0.0,0.00136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00101,0.0,0.00252,0.00129,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.00047
Lacticaseibacillus paracasei,0.0,0.00273,0.0,0.0,0.0,0.00169,0.00168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00697,0.0,0.00197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.00218,0.0,0.0,0.00158,0.0,0.0,0.0,0.0,0.0,0.00212,0.0,0.0,0.0,0.00233,0.00278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00172,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01461,0.0,0.00893,0.0,0.00903,0.00155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01976,0.0,0.0,0.0,0.0,0.00206,0.0,0.0,0.0,0.00478,0.0018,0.0,0.0,0.0,0.0,0.0,0.00248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01658
Lactiplantibacillus pentosus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00052,0.0,0.0,0.0,0.0006,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00075,0.0,0.0,0.0,0.0,0.00037,0.0,0.00165,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.00067
Lactiplantibacillus plantarum,0.00906,0.00255,0.00635,0.0,0.00147,0.00075,0.0012,0.0,0.0019,0.0,0.0,0.0,0.01926,0.00092,0.0,0.0,0.0007,0.0,0.00043,0.00142,0.0,0.0,0.00129,0.00078,0.0087,0.0,0.00098,0.0,0.00087,0.00103,0.00495,0.0012,0.00121,0.0,0.00168,0.00168,0.0,0.0,0.00033,0.00069,0.00091,0.00179,0.01122,0.0,0.00879,0.0,0.0,0.0006,0.01992,0.00062,0.0126,0.00121,0.00134,0.001,0.01039,0.0,0.00087,0.00105,0.0,0.0,0.00066,0.00533,0.00452,0.0,0.0,0.00304,0.00528,0.0,0.0,0.01541,0.0,0.00646,0.00039,0.00897,0.00196,0.00256,0.0,0.00074,0.0,0.00079,0.00056,0.0,0.00149,0.00118,0.00147,0.0,0.00895,0.0012,0.0,0.00069,0.0,0.00317,0.00128,0.01574,0.00229,0.00543,0.00046,0.0,0.0007,0.0,0.0,0.00121,0.00125,0.00091,0.00068,0.00146,0.0,0.0,0.0,0.00042,0.03322
