name,SRR12535998,SRR13613097,SRR9040632,SRR9040658,SRR12536017,SRR12536008,SRR12535993,SRR12536018,SRR9040631,SRR9040650,SRR12535989,SRR13613104,SRR12536007,SRR12536005,SRR12535986,SRR13613101,SRR9040657,SRR12536003,SRR12536006,SRR12535984,SRR9040649,SRR9040644,SRR9040642,SRR13613100,SRR9040647,SRR13613102,SRR12536020,SRR12535997,SRR12535996,SRR13613103,SRR12536009,SRR9040639,SRR9040634,SRR12536012,SRR12536019,SRR12535991,SRR9040637,SRR12536000,SRR9040654,SRR9040653,SRR12535987,SRR12535992,SRR12535999,SRR12536011,SRR9040641,SRR12535985,SRR9040652,SRR9040643,SRR9040646,SRR9040656,SRR12536016,SRR9040630,SRR12536013,SRR12535995,SRR9040659,SRR12536014,SRR9040633,SRR13613099,SRR12536021,SRR12536001,SRR12536004,SRR12535988,SRR9040651,SRR9040638,SRR12535994,SRR12536015,SRR12535990,SRR9040640,SRR12536002,SRR9040648,SRR9040645,SRR9040655,SRR13613098,SRR9040636,SRR13613096,SRR9040635,SRR12536022,SRR12536010
Aeromonas sp. 19NY04SH05-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aeromonas veronii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agathobacter rectalis,0.0,0.0,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,0.0,0.0,0.00056,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048,0.0,0.0,0.0,0.0,0.00161,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.00072,0.0,0.0,0.00054,0.0,0.00086,0.0,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.00044,0.0,0.0
Aggregatibacter actinomycetemcomitans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00328,0.0
Alistipes finegoldii,0.0,0.0,0.0,0.00126,0.0,0.0,0.0,0.0,0.00116,0.00056,0.0,0.0,0.0,0.0,0.0,0.0,0.00164,0.0,0.0,0.0,0.00099,0.0,0.0,0.0,0.00027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.00153,0.0,0.00123,0.00164,0.0,0.0,0.0,0.0,0.00153,0.0,0.00083,0.00156,0.00036,0.00197,0.0,0.0015,0.0,0.0,0.00216,0.0,0.00088,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,0.00123,0.0,0.00055,0.00112,0.0,0.0,0.00132,0.0,0.00115,0.0,0.0
Alistipes ihumii,0.0,0.0,0.00142,0.00375,0.0,0.0,0.0,0.0,0.00294,0.00275,0.0,0.0,0.0,0.0,0.0,0.0,0.00257,0.0,0.0,0.0,0.00215,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.00066,0.00424,0.0,0.0,0.0,0.00233,0.0,0.00282,0.00201,0.0,0.0,0.0,0.0,0.00138,0.0,0.00345,0.00264,0.00278,0.00232,0.0,0.00344,0.0,0.0,0.00368,0.0,0.00382,0.0,0.0,0.0,0.0,0.0,0.00345,0.0,0.0,0.0,0.0,0.00143,0.0,0.00211,0.00164,0.0,0.0,0.00277,0.0,0.00192,0.0,0.0
Alistipes onderdonkii,0.0,0.0,0.00625,0.00961,0.0,0.0,0.0,0.0,0.01022,0.01071,0.0,0.0,0.0,0.0,0.0,0.0,0.01301,0.0,0.0,0.0,0.01112,0.00203,0.00117,0.0,0.00104,0.0,0.0,0.0,0.0,0.0,0.0,0.00093,0.01773,0.0,0.0,0.0,0.00993,0.0,0.01127,0.0102,0.0,0.0,0.0,0.0,0.0089,0.0,0.01187,0.01835,0.00787,0.01007,0.0,0.0167,0.0,0.0,0.01285,0.0,0.01479,0.0,0.0,0.0,0.0,0.0,0.01127,0.00129,0.0,0.0,0.0,0.01115,0.0,0.00845,0.01196,0.00138,0.0,0.00781,0.0,0.00975,0.0,0.0
Alistipes senegalensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alistipes shahii,0.0,0.0,0.00058,0.00116,0.0,0.0,0.0,0.0,0.00141,0.00042,0.0,0.0,0.0,0.0,0.0,0.0,0.00051,0.0,0.0,0.0,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00071,0.0,0.0,0.0,0.0,0.0,0.00063,0.00081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00104,0.0,0.00059,0.0,0.0011,0.0,0.0,0.00062,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.00065,0.0,0.0,0.0,0.0,0.00085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amniculibacterium sp. G2-70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00649,0.0
