name,SRR9040656,SRR12536012,SRR12536006,SRR9040634,SRR9040640,SRR13613101,SRR12536014,SRR9040643,SRR9040655,SRR12535986,SRR12535984,SRR12535997,SRR9040638,SRR9040632,SRR12535991,SRR9040653,SRR13613097,SRR12536020,SRR9040648,SRR12536016,SRR12535999,SRR12536000,SRR12535994,SRR9040652,SRR9040645,SRR12536002,SRR9040639,SRR12535987,SRR12536011,SRR9040635,SRR9040644,SRR9040637,SRR13613098,SRR9040654,SRR12536022,SRR12536008,SRR9040651,SRR12535990,SRR9040633,SRR12535989,SRR12536013,SRR12536009,SRR13613104,SRR12535996,SRR12536019,SRR9040647,SRR12535988,SRR12536003,SRR12536018,SRR9040659,SRR12536004,SRR13613103,SRR12535993,SRR13613100,SRR9040642,SRR9040650,SRR12536007,SRR12536005,SRR13613099,SRR9040636,SRR12536021,SRR9040649,SRR9040657,SRR12535992,SRR13613102,SRR13613096,SRR9040641,SRR9040631,SRR9040630,SRR9040658,SRR12535985,SRR12535995,SRR9040646,SRR12536017,SRR12536015,SRR12535998,SRR12536001,SRR12536010
Deferribacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.00037,0.0,0.0,0.00018,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039,0.00031,0.0,0.0,0.0,0.0003,0.0,0.00045,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.00032,0.0,0.0,0.0,0.0,0.0,0.00028,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.00112,0.0,0.0,0.0,0.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.00027,0.00029,0.0,0.0003,0.0
Deinococcota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Euryarchaeota,0.0,0.00037,0.0,0.0,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.00026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.00039,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038,0.0,0.00034,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045,0.0,0.0,0.00043,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.00028,0.0,0.00035,0.00023,0.0,0.0,0.00033,0.00022,0.00035
Fibrobacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusobacteriota,0.00126,0.00032,0.0,0.00033,0.0003,0.05528,0.0,0.00206,0.03407,0.00023,0.00023,0.00034,0.00041,0.00033,0.00504,0.0059,0.04151,0.00061,0.00037,0.0023,0.00023,0.00028,0.00075,0.00047,0.00033,0.0,0.00217,0.01573,0.0,0.01933,0.05299,0.00032,0.00366,0.00027,0.01208,0.0,0.00071,0.0,0.00052,0.00037,0.0,0.0,0.00528,0.00129,0.00057,0.00865,0.04059,0.00042,0.00022,0.00093,0.0,0.00221,0.00151,0.00082,0.00861,0.00023,0.00045,0.0,0.07032,0.0389,0.0004,0.00035,0.00229,0.00673,0.00105,0.0,0.00093,0.00033,0.00035,0.00032,0.00025,0.01912,0.00146,0.00025,0.00039,0.0,0.00027,0.0
Mycoplasmatota,0.0,0.00052,0.00076,0.00045,0.00023,0.00268,0.00047,0.00035,0.01342,0.00045,0.00051,0.00058,0.0,0.00033,0.00053,0.00021,0.0,0.00103,0.00025,0.00061,0.00068,0.00053,0.00055,0.00028,0.0,0.00049,0.0,0.00045,0.00052,0.00114,0.00574,0.00024,0.0,0.00027,0.00163,0.00051,0.00054,0.00065,0.00027,0.00062,0.00053,0.00045,0.0,0.00066,0.00152,0.0,0.00056,0.00036,0.00064,0.0,0.00056,0.00031,0.00076,0.0,0.00111,0.00015,0.00091,0.00036,0.00084,0.00095,0.00071,0.00019,0.00033,0.00059,0.00076,0.0,0.00022,0.0,0.0002,0.00015,0.00048,0.0005,0.0,0.00061,0.00083,0.00044,0.00059,0.00057
Myxococcota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Planctomycetota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016,0.0,0.0,0.0,0.00052,0.0,0.0,0.0,0.00028,0.0,0.00034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.00013,0.0,0.0,0.0,0.00035,0.0,0.0,0.00018,0.0,0.0,0.0,0.0,0.0,0.00015,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pseudomonadota,0.11429,0.08197,0.05212,0.04719,0.05248,0.17302,0.16429,0.06364,0.02698,0.11366,0.02168,0.07401,0.16091,0.08687,0.16722,0.0587,0.30566,0.23149,0.10299,0.11675,0.08254,0.0848,0.13305,0.0513,0.07653,0.08679,0.06677,0.13957,0.11134,0.04795,0.08916,0.04991,0.0588,0.07489,0.20494,0.09981,0.06701,0.09855,0.03705,0.09994,0.11721,0.01031,0.0888,0.07488,0.13072,0.09404,0.11201,0.07884,0.1261,0.07126,0.17213,0.15065,0.03191,0.02724,0.20174,0.06188,0.20251,0.07361,0.05922,0.14957,0.19648,0.08153,0.12388,0.113,0.15385,0.15942,0.07398,0.08178,0.06197,0.0665,0.0946,0.02961,0.11004,0.03188,0.13971,0.13565,0.1342,0.09567
Spirochaetota,0.00038,0.00027,0.0,0.0002,0.0,0.00099,0.00058,0.0,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034,0.0,0.0,0.00023,0.0,0.0,0.00024,0.0,0.0,0.0,0.01391,0.00026,0.0,0.00019,0.00104,0.0,0.00036,0.00031,0.0,0.00043,0.0,0.0,0.0,0.00028,0.0,0.00018,0.0,0.0,0.0,0.00024,0.0,0.00019,0.00025,0.0,0.00048,0.0,0.0003,0.0,0.0,0.00023,0.00031,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.00017,0.0003,0.00034,0.0003,0.0,0.00027,0.00041,0.0,0.00027,0.00048
Synergistota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thermodesulfobacteriota,0.0,0.0,0.0,0.00025,0.0,0.00092,0.0,0.00019,0.0,0.0,0.00023,0.0,0.0,0.00045,0.0,0.00146,0.0,0.0,0.00017,0.0,0.0,0.0,0.0,0.00085,0.0,0.00027,0.00053,0.0,0.0,0.0,0.0002,0.00023,0.0,0.00043,0.0,0.0,0.00058,0.00036,0.00045,0.0,0.0,0.0,0.0337,0.00017,0.0,0.0,0.00028,0.0,0.0,0.00032,0.0,0.00034,0.00025,0.0,0.00022,0.0,0.0,0.0,0.00045,0.00095,0.0,0.00019,0.00037,0.0,0.0,0.0,0.0,0.00048,0.00017,0.00015,0.0,0.0,0.0,0.0,0.0,0.0,0.00017,0.0
Uroviricota,0.0,0.0,0.00151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.0,0.0,0.00063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00102,0.0,0.0,0.0,0.0
Verrucomicrobiota,0.0,0.00035,0.00044,0.00035,0.00023,0.00141,0.0,0.00023,0.0,0.00032,0.00028,0.00043,0.00021,0.0,0.0,0.00045,0.0,0.0,0.00017,0.00031,0.00045,0.00048,0.00037,0.00028,0.0,0.00034,0.00027,0.0,0.0,0.00096,0.00022,0.0002,0.0,0.0,0.00059,0.0,0.00064,0.00036,0.0,0.00075,0.0,0.0,0.0,0.00045,0.0,0.00042,0.00045,0.0,0.0004,0.00038,0.00073,0.00026,0.0,0.00067,0.00025,0.0002,0.00033,0.00043,0.00074,0.001,0.0,0.00035,0.00048,0.0,0.00035,0.0,0.00038,0.00022,0.0002,0.00046,0.00036,0.00028,0.00035,0.00025,0.00029,0.00036,0.00044,0.0
